,Variable 1,Variable 2,Correlation
876,"6. In a semester, how often have you been so restless due to academic pressure that it is hard to sit still?",Anxiety_is_missing,
877,"7. In a semester, how often have you felt afraid, as if something awful might happen?",Anxiety_is_missing,
878,Anxiety Value,Anxiety_is_missing,
879,"1. In a semester, how often have you felt upset due to something that happened in your academic affairs? ",Anxiety_is_missing,
880,"2. In a semester, how often you felt as if you were unable to control important things in your academic affairs?",Anxiety_is_missing,
881,"3. In a semester, how often you felt nervous and stressed because of academic pressure? ",Anxiety_is_missing,
882,"4. In a semester, how often you felt as if you could not cope with all the mandatory academic activities? (e.g, assignments, quiz, exams) ",Anxiety_is_missing,
883,"5. In a semester, how often you felt confident about your ability to handle your academic / university problems?",Anxiety_is_missing,
884,"6. In a semester, how often you felt as if things in your academic life is going on your way? ",Anxiety_is_missing,
885,"7. In a semester, how often are you able to control irritations in your academic / university affairs? ",Anxiety_is_missing,
886,"8. In a semester, how often you felt as if your academic performance was on top?",Anxiety_is_missing,
887,"9. In a semester, how often you got angered due to bad performance or low grades that is beyond your control? ",Anxiety_is_missing,
888,"10. In a semester, how often you felt as if academic difficulties are piling up so high that you could not overcome them? ",Anxiety_is_missing,
889,Stress Value,Anxiety_is_missing,
890,"1. In a semester, how often have you had little interest or pleasure in doing things?",Anxiety_is_missing,
891,"2. In a semester, how often have you been feeling down, depressed or hopeless?",Anxiety_is_missing,
892,"3. In a semester, how often have you had trouble falling or staying asleep, or sleeping too much? ",Anxiety_is_missing,
893,"4. In a semester, how often have you been feeling tired or having little energy? ",Anxiety_is_missing,
894,"5. In a semester, how often have you had poor appetite or overeating? ",Anxiety_is_missing,
895,"6. In a semester, how often have you been feeling bad about yourself - or that you are a failure or have let yourself or your family down? ",Anxiety_is_missing,
